StudentId|QusetionSet|QT|VB|RA|QuestionAttempted|AttemptDate
71886|tt503|22|14|22|46|2017-05-11
84476|tt503|2|7|30|45|2017-05-11
146673|tt503|13|12|31|52|2017-05-11
148454|tt503|13|25|23|43|2017-05-11
72986|tt503|14|9|3|46|2017-05-11
72573|tt503|-3|9|12|42|2017-05-11
78580|tt503|7|19|2|36|2017-05-11
161825|tt503|2|25|12|49|2017-05-11
140666|tt503|0|18|16|46|2017-05-11
95815|tt503|6|21|17|44|2017-05-11
109306|tt503|18|21|19|54|2017-05-11
147878|tt503|3|14|14|49|2017-05-11
77191|tt503|7|29|16|44|2017-05-11
160611|tt503|15|15|33|45|2017-05-11
169756|tt503|10|31|8|43|2017-05-11
118407|tt503|7|24|6|47|2017-05-11
147443|tt503|7|15|11|39|2017-05-11
88279|tt503|9|14|21|44|2017-05-11
155063|tt503|21|5|30|52|2017-05-11
146632|tt503|8|17|6|41|2017-05-11
79607|tt503|32|30|14|44|2017-05-11
108800|tt503|18|-5|19|40|2017-05-11
130643|tt503|12|15|7|38|2017-05-11
110140|tt503|17|26|10|47|2017-05-11
89335|tt503|9|1|4|46|2017-05-11
114921|tt503|12|17|31|40|2017-05-11
119720|tt503|24|14|26|56|2017-05-11
161270|tt503|15|22|27|44|2017-05-11
154077|tt503|17|-2|11|42|2017-05-11
115472|tt503|14|24|22|48|2017-05-11
169959|tt503|14|17|14|43|2017-05-11
131880|tt503|26|16|8|42|2017-05-11
99974|tt503|2|11|11|44|2017-05-11
100323|tt503|2|11|19|48|2017-05-11
150061|tt503|26|14|18|42|2017-05-11
131283|tt503|9|11|0|48|2017-05-11
95037|tt503|9|27|15|53|2017-05-11
124328|tt503|9|14|24|45|2017-05-11
134161|tt503|9|24|22|37|2017-05-11
80590|tt503|33|30|39|90|2017-05-11
73997|tt503|10|23|21|46|2017-05-11
142809|tt503|26|32|13|45|2017-05-11
126411|tt503|7|20|15|50|2017-05-11
128662|tt503|-1|19|9|49|2017-05-11
78372|tt503|17|34|25|44|2017-05-11
74470|tt503|19|22|12|51|2017-05-11
98072|tt503|19|15|24|38|2017-05-11
150643|tt503|9|11|13|43|2017-05-11
73050|tt503|8|18|18|48|2017-05-11
139199|tt503|36|8|19|45|2017-05-11
119882|tt503|0|11|19|42|2017-05-11
167017|tt503|1|19|22|42|2017-05-11
102524|tt503|21|17|16|34|2017-05-11
163125|tt503|18|10|21|43|2017-05-11
143074|tt503|9|15|27|49|2017-05-11
140454|tt503|8|15|17|48|2017-05-11
114203|tt503|10|4|21|45|2017-05-11
70593|tt503|17|18|32|45|2017-05-11
72006|tt503|24|20|11|41|2017-05-11
160668|tt503|10|18|13|39|2017-05-11
76510|tt503|30|23|27|40|2017-05-11
106060|tt503|7|23|21|53|2017-05-11
73599|tt503|14|6|9|43|2017-05-11
95747|tt503|15|31|17|45|2017-05-11
165247|tt503|9|25|25|45|2017-05-11
116436|tt503|23|18|14|45|2017-05-11
72505|tt503|7|21|1|39|2017-05-11
120799|tt503|-6|24|11|43|2017-05-11
87080|tt503|15|-2|19|48|2017-05-11
99099|tt503|20|14|24|42|2017-05-11
168066|tt503|-1|28|24|41|2017-05-11
96658|tt503|17|21|27|43|2017-05-11
101414|tt503|21|25|18|40|2017-05-11
131451|tt503|19|4|11|42|2017-05-11
162519|tt503|8|19|4|41|2017-05-11
114112|tt503|11|15|8|46|2017-05-11
77070|tt503|16|16|32|40|2017-05-11
79833|tt503|15|17|19|49|2017-05-11
83507|tt503|3|19|37|45|2017-05-11
131146|tt503|14|17|26|51|2017-05-11
130906|tt503|12|26|20|50|2017-05-11
101995|tt503|20|15|13|44|2017-05-11
86321|tt503|23|3|26|44|2017-05-11
167777|tt503|3|19|5|45|2017-05-11
163691|tt503|8|8|-2|46|2017-05-11
89221|tt503|19|6|30|45|2017-05-11
102153|tt503|15|34|3|44|2017-05-11
89986|tt503|21|-1|12|44|2017-05-11
73456|tt503|19|27|12|50|2017-05-11
98478|tt503|-1|11|8|46|2017-05-11
90873|tt503|4|20|4|48|2017-05-11
144875|tt503|10|29|23|42|2017-05-11
164061|tt503|9|9|14|44|2017-05-11
153641|tt503|3|30|3|44|2017-05-11
86916|tt503|9|27|12|44|2017-05-11
167420|tt503|23|20|5|48|2017-05-11
87058|tt503|22|6|13|43|2017-05-11
129356|tt503|9|28|26|45|2017-05-11
103022|tt503|15|15|19|39|2017-05-11
114265|tt503|5|9|28|50|2017-05-11
161655|tt503|30|36|26|92|2017-05-11
155995|tt503|7|37|29|51|2017-05-11
103679|tt503|9|10|9|44|2017-05-11
80359|tt503|4|16|28|48|2017-05-11
75996|tt503|7|17|24|44|2017-05-11
100560|tt503|6|15|36|47|2017-05-11
74042|tt503|29|11|9|47|2017-05-11
138717|tt503|16|12|14|46|2017-05-11
126697|tt503|19|8|12|41|2017-05-11
71533|tt503|10|17|18|43|2017-05-11
131055|tt503|11|13|15|41|2017-05-11
73687|tt503|21|-1|13|47|2017-05-11
126023|tt503|13|6|19|50|2017-05-11
120449|tt503|16|8|18|46|2017-05-11
91558|tt503|10|19|26|41|2017-05-11
134243|tt503|6|32|19|47|2017-05-11
146166|tt503|16|16|9|43|2017-05-11
166209|tt503|19|5|22|50|2017-05-11
84305|tt503|23|21|41|55|2017-05-11
92517|tt503|16|18|17|53|2017-05-11
125945|tt503|3|24|14|43|2017-05-11
109091|tt503|11|24|33|44|2017-05-11
168487|tt503|5|31|13|47|2017-05-11
89747|tt503|9|17|20|46|2017-05-11
82456|tt503|11|5|34|50|2017-05-11
142859|tt503|16|30|6|56|2017-05-11
153989|tt503|7|27|8|54|2017-05-11
111958|tt503|4|6|9|41|2017-05-11
127571|tt503|7|18|2|41|2017-05-11
158324|tt503|31|7|8|34|2017-05-11
106124|tt503|11|27|12|46|2017-05-11
156062|tt503|14|6|24|48|2017-05-11
138510|tt503|18|18|20|48|2017-05-11
72336|tt503|31|14|16|51|2017-05-11
121564|tt503|1|33|8|38|2017-05-11
86215|tt503|17|13|3|43|2017-05-11
130277|tt503|7|7|35|39|2017-05-11
111544|tt503|18|23|4|43|2017-05-11
105640|tt503|14|10|28|48|2017-05-11
151362|tt503|6|5|42|55|2017-05-11
99357|tt503|17|8|20|43|2017-05-11
77144|tt503|10|14|19|41|2017-05-11
115303|tt503|6|14|10|38|2017-05-11
152498|tt503|16|11|23|38|2017-05-11
140827|tt503|35|18|3|52|2017-05-11
131822|tt503|3|9|11|41|2017-05-11
153722|tt503|11|21|19|45|2017-05-11
141289|tt503|14|13|6|43|2017-05-11
91963|tt503|8|27|29|48|2017-05-11
94211|tt503|2|29|17|48|2017-05-11
81651|tt503|11|18|23|44|2017-05-11
160437|tt503|26|22|1|43|2017-05-11
166647|tt503|16|18|25|53|2017-05-11
118049|tt503|5|23|15|45|2017-05-11
77925|tt503|12|32|7|45|2017-05-11
117300|tt503|11|-3|15|49|2017-05-11
105167|tt503|18|39|14|49|2017-05-11
153506|tt503|15|24|11|42|2017-05-11
104508|tt503|19|28|-3|52|2017-05-11
153268|tt503|4|25|37|46|2017-05-11
168206|tt503|8|16|4|44|2017-05-11
156824|tt503|3|0|24|37|2017-05-11
82827|tt503|8|10|9|41|2017-05-11
168739|tt503|14|21|16|45|2017-05-11
80762|tt503|7|27|23|55|2017-05-11
70790|tt503|17|26|14|43|2017-05-11
119303|tt503|4|27|32|45|2017-05-11
153084|tt503|4|31|30|55|2017-05-11
133379|tt503|19|7|12|50|2017-05-11
158575|tt503|6|-4|7|43|2017-05-11
82016|tt503|7|28|12|33|2017-05-11
93798|tt503|13|41|30|48|2017-05-11
109799|tt503|25|6|11|50|2017-05-11
107861|tt503|9|29|11|43|2017-05-11
118700|tt503|25|14|16|45|2017-05-11
168636|tt503|27|12|3|46|2017-05-11
141975|tt503|6|6|24|36|2017-05-11
155335|tt503|12|17|-3|42|2017-05-11
77579|tt503|11|34|18|45|2017-05-11
75641|tt503|5|17|21|49|2017-05-11
118203|tt503|14|23|-2|45|2017-05-11
83521|tt503|9|20|14|41|2017-05-11
79400|tt503|25|6|30|39|2017-05-11
71285|tt503|18|11|24|47|2017-05-11
125348|tt503|11|10|14|45|2017-05-11
109737|tt503|3|20|5|40|2017-05-11
142961|tt503|17|25|8|50|2017-05-11
121697|tt503|14|5|20|49|2017-05-11
87050|tt503|7|10|17|50|2017-05-11
133764|tt503|14|18|13|43|2017-05-11
130899|tt503|7|21|23|41|2017-05-11
163821|tt503|11|12|23|38|2017-05-11
104449|tt503|18|9|12|45|2017-05-11
168165|tt503|18|11|23|48|2017-05-11
123147|tt503|4|33|24|47|2017-05-11
161980|tt503|30|19|1|58|2017-05-11
120415|tt503|13|15|24|48|2017-05-11
156981|tt503|23|2|5|38|2017-05-11
73199|tt503|25|24|20|47|2017-05-11
102979|tt503|6|20|26|40|2017-05-11
164283|tt503|14|10|21|39|2017-05-11
87809|tt503|14|26|19|45|2017-05-11
163281|tt503|9|17|13|41|2017-05-11
84166|tt503|22|5|3|42|2017-05-11
140604|tt503|22|27|15|48|2017-05-11
78725|tt503|13|21|20|42|2017-05-11
76671|tt503|8|10|16|42|2017-05-11
143810|tt503|20|24|19|45|2017-05-11
88201|tt503|14|20|-2|44|2017-05-11
80886|tt503|11|26|28|43|2017-05-11
109854|tt503|5|9|18|40|2017-05-11
156675|tt503|14|30|26|50|2017-05-11
110650|tt503|10|18|26|46|2017-05-11
147905|tt503|23|16|19|42|2017-05-11
132797|tt503|16|8|11|33|2017-05-11
74537|tt503|9|21|25|45|2017-05-11
99036|tt503|19|13|1|55|2017-05-11
122822|tt503|7|14|14|37|2017-05-11
160254|tt503|8|13|7|48|2017-05-11
85597|tt503|11|31|25|49|2017-05-11
150263|tt503|18|25|16|45|2017-05-11
108077|tt503|16|26|31|47|2017-05-11
128816|tt503|22|10|12|44|2017-05-11
85301|tt503|15|3|3|47|2017-05-11
169707|tt503|8|18|14|48|2017-05-11
85562|tt503|10|37|10|43|2017-05-11
75468|tt503|0|6|14|40|2017-05-11
109139|tt503|10|18|16|48|2017-05-11
113753|tt503|11|24|20|41|2017-05-11
105523|tt503|9|27|5|43|2017-05-11
91765|tt503|16|17|12|47|2017-05-11
157499|tt503|18|10|14|46|2017-05-11
115385|tt503|16|8|1|47|2017-05-11
111479|tt503|4|28|18|46|2017-05-11
101498|tt503|-2|6|10|42|2017-05-11
127891|tt503|15|30|19|40|2017-05-11
122837|tt503|12|14|16|42|2017-05-11
83796|tt503|4|14|18|48|2017-05-11
158323|tt503|9|3|8|40|2017-05-11
127344|tt503|3|7|15|43|2017-05-11
158273|tt503|15|23|14|44|2017-05-11
108519|tt503|14|8|19|47|2017-05-11
104211|tt503|12|34|18|44|2017-05-11
142274|tt503|-2|5|18|39|2017-05-11
130350|tt503|23|21|10|42|2017-05-11
165684|tt503|3|11|10|44|2017-05-11
146033|tt503|-3|22|11|42|2017-05-11
82474|tt503|5|28|6|49|2017-05-11
86830|tt503|11|-1|27|43|2017-05-11
135663|tt503|10|16|27|43|2017-05-11
100042|tt503|11|13|21|39|2017-05-11
91454|tt503|22|20|35|51|2017-05-11
93902|tt503|-6|18|12|44|2017-05-11
109806|tt503|1|37|22|52|2017-05-11
71519|tt503|5|26|15|46|2017-05-11
104230|tt503|11|15|24|38|2017-05-11
71586|tt503|5|11|22|42|2017-05-11
96802|tt503|3|7|11|43|2017-05-11
88824|tt503|21|17|28|54|2017-05-11
86751|tt503|19|17|22|42|2017-05-11
140084|tt503|21|17|28|58|2017-05-11
162092|tt503|8|10|21|45|2017-05-11
96120|tt503|7|25|12|48|2017-05-11
140569|tt503|16|7|7|38|2017-05-11
144322|tt503|11|6|14|49|2017-05-11
98063|tt503|-1|28|23|50|2017-05-11
148659|tt503|11|14|18|41|2017-05-11
70495|tt503|4|18|7|47|2017-05-11
157525|tt503|6|5|34|43|2017-05-11
125757|tt503|24|9|41|54|2017-05-11
158895|tt503|16|14|24|50|2017-05-11
128806|tt503|25|14|12|41|2017-05-11
108570|tt503|19|11|7|51|2017-05-11
74264|tt503|16|22|27|47|2017-05-11
163776|tt503|5|14|16|45|2017-05-11
160733|tt503|10|8|14|44|2017-05-11
141625|tt503|4|12|4|44|2017-05-11
90005|tt503|21|11|1|43|2017-05-11
126984|tt503|28|11|8|49|2017-05-11
149880|tt503|24|14|26|48|2017-05-11
83917|tt503|16|16|8|48|2017-05-11
148732|tt503|21|24|8|43|2017-05-11
152059|tt503|15|18|14|37|2017-05-11
77583|tt503|17|8|10|45|2017-05-11
99855|tt503|10|17|19|38|2017-05-11
124711|tt503|25|18|5|40|2017-05-11
124939|tt503|8|14|25|37|2017-05-11
121001|tt503|15|2|36|47|2017-05-11
145743|tt503|3|20|27|50|2017-05-11
109000|tt503|-5|18|33|50|2017-05-11
142433|tt503|14|16|14|44|2017-05-11
76661|tt503|25|17|6|48|2017-05-11
167116|tt503|8|14|13|45|2017-05-11
91483|tt503|16|15|23|50|2017-05-11
160673|tt503|14|21|12|41|2017-05-11
152618|tt503|16|21|12|43|2017-05-11
115756|tt503|12|9|11|44|2017-05-11
109276|tt503|19|15|27|55|2017-05-11
116761|tt503|18|10|12|52|2017-05-11
87584|tt503|-3|19|29|55|2017-05-11
91505|tt503|25|21|6|48|2017-05-11
107787|tt503|19|19|9|45|2017-05-11
135945|tt503|2|9|34|43|2017-05-11
118250|tt503|6|29|26|47|2017-05-11
89746|tt503|7|19|28|38|2017-05-11
82055|tt503|13|30|23|54|2017-05-11
156171|tt503|-6|17|7|42|2017-05-11
143203|tt503|14|14|18|46|2017-05-11
133459|tt503|9|22|21|44|2017-05-11
95350|tt503|12|14|12|38|2017-05-11
116856|tt503|3|34|35|48|2017-05-11
144900|tt503|20|15|11|46|2017-05-11
107245|tt503|10|17|30|55|2017-05-11
92526|tt503|1|4|21|46|2017-05-11
137491|tt503|15|12|21|40|2017-05-11
128982|tt503|13|4|13|46|2017-05-11
138355|tt503|11|3|33|49|2017-05-11
157741|tt503|13|29|11|47|2017-05-11
125108|tt503|3|19|13|37|2017-05-11
83223|tt503|5|10|8|45|2017-05-11
138483|tt503|10|-2|10|34|2017-05-11
82430|tt503|7|20|13|32|2017-05-11
95146|tt503|17|15|5|39|2017-05-11
73651|tt503|10|16|17|45|2017-05-11
128146|tt503|18|16|13|53|2017-05-11
88520|tt503|7|23|16|50|2017-05-11
154504|tt503|15|15|25|41|2017-05-11
121100|tt503|5|11|17|47|2017-05-11
71008|tt503|8|13|17|46|2017-05-11
146427|tt503|9|28|15|48|2017-05-11
106921|tt503|5|14|30|43|2017-05-11
109198|tt503|18|-5|7|44|2017-05-11
128111|tt503|4|12|5|39|2017-05-11
151288|tt503|10|22|13|39|2017-05-11
123648|tt503|10|5|23|42|2017-05-11
146973|tt503|4|23|21|40|2017-05-11
89476|tt503|5|21|8|42|2017-05-11
103557|tt503|-4|15|2|51|2017-05-11
149251|tt503|13|24|9|42|2017-05-11
105077|tt503|10|11|26|41|2017-05-11
159165|tt503|4|22|12|50|2017-05-11
150927|tt503|18|13|3|38|2017-05-11
73631|tt503|12|21|9|42|2017-05-11
107407|tt503|15|16|36|49|2017-05-11
77027|tt503|13|35|20|44|2017-05-11
106901|tt503|-4|15|9|44|2017-05-11
132029|tt503|9|7|11|37|2017-05-11
93270|tt503|24|16|-3|39|2017-05-11
166953|tt503|5|11|44|52|2017-05-11
169624|tt503|4|17|5|46|2017-05-11
117577|tt503|18|31|14|45|2017-05-11
147353|tt503|-5|9|25|47|2017-05-11
162275|tt503|10|2|24|52|2017-05-11
124443|tt503|9|4|23|48|2017-05-11
102656|tt503|-1|30|28|43|2017-05-11
145944|tt503|13|15|17|47|2017-05-11
154067|tt503|3|7|27|39|2017-05-11
82576|tt503|10|16|7|43|2017-05-11
71372|tt503|6|0|22|52|2017-05-11
167257|tt503|39|10|14|45|2017-05-11
114831|tt503|10|14|24|44|2017-05-11
100600|tt503|7|3|27|47|2017-05-11
113663|tt503|12|12|31|45|2017-05-11
72598|tt503|30|4|7|39|2017-05-11
126074|tt503|18|6|29|47|2017-05-11
130804|tt503|11|10|27|48|2017-05-11
153751|tt503|-1|15|15|39|2017-05-11
102497|tt503|30|27|30|53|2017-05-11
157645|tt503|9|11|12|48|2017-05-11
82283|tt503|10|13|20|45|2017-05-11
72841|tt503|5|9|11|43|2017-05-11
120664|tt503|7|22|24|47|2017-05-11
129758|tt503|9|10|24|45|2017-05-11
157978|tt503|9|17|23|47|2017-05-11
113436|tt503|9|13|12|46|2017-05-11
157235|tt503|13|8|12|39|2017-05-11
134251|tt503|14|8|25|53|2017-05-11
108559|tt503|15|23|9|49|2017-05-11
88467|tt503|12|11|9|48|2017-05-11
143193|tt503|13|25|17|45|2017-05-11
83056|tt503|12|-4|6|42|2017-05-11
126472|tt503|7|10|9|46|2017-05-11
133962|tt503|9|15|13|39|2017-05-11
143264|tt503|7|13|31|33|2017-05-11
82843|tt503|33|20|17|50|2017-05-11
87304|tt503|18|5|23|46|2017-05-11
93592|tt503|22|18|18|42|2017-05-11
110455|tt503|13|21|18|44|2017-05-11
97911|tt503|11|10|15|48|2017-05-11
99610|tt503|6|-1|31|44|2017-05-11
153225|tt503|18|27|24|43|2017-05-11
141445|tt503|6|17|16|45|2017-05-11
132666|tt503|13|19|21|39|2017-05-11
114809|tt503|19|31|12|46|2017-05-11
78528|tt503|-4|5|1|50|2017-05-11
121954|tt503|6|16|9|41|2017-05-11
168576|tt503|-2|0|4|46|2017-05-11
115158|tt503|5|11|15|53|2017-05-11
80294|tt503|1|12|22|41|2017-05-11
169639|tt503|12|38|28|54|2017-05-11
100217|tt503|16|6|-4|42|2017-05-11
110296|tt503|7|14|27|48|2017-05-11
78298|tt503|35|21|25|51|2017-05-11
121391|tt503|2|11|17|42|2017-05-11
134795|tt503|12|28|27|49|2017-05-11
98451|tt503|10|11|21|38|2017-05-11
83664|tt503|2|17|23|38|2017-05-11
112177|tt503|13|18|2|43|2017-05-11
141513|tt503|21|10|27|46|2017-05-11
94933|tt503|11|34|17|42|2017-05-11
114171|tt503|9|17|31|47|2017-05-11
152014|tt503|15|12|12|45|2017-05-11
118292|tt503|16|6|4|38|2017-05-11
166928|tt503|8|18|12|42|2017-05-11
82243|tt503|19|11|6|44|2017-05-11
74666|tt503|12|25|8|43|2017-05-11
100584|tt503|14|27|9|46|2017-05-11
119662|tt503|11|10|11|44|2017-05-11
164207|tt503|5|17|15|47|2017-05-11
86156|tt503|5|8|17|50|2017-05-11
120140|tt503|24|3|17|44|2017-05-11
94217|tt503|7|18|25|50|2017-05-11
82389|tt503|5|31|12|44|2017-05-11
163320|tt503|11|5|28|40|2017-05-11
111077|tt503|8|16|19|45|2017-05-11
104491|tt503|12|8|10|46|2017-05-11
78914|tt503|2|18|10|46|2017-05-11
138739|tt503|16|44|-1|49|2017-05-11
109640|tt503|-3|22|13|52|2017-05-11
163943|tt503|8|10|23|47|2017-05-11
167356|tt503|15|22|16|51|2017-05-11
114664|tt503|19|6|5|38|2017-05-11
160274|tt503|16|-1|17|48|2017-05-11
167652|tt503|15|19|15|43|2017-05-11
95974|tt503|7|13|10|46|2017-05-11
109945|tt503|8|19|24|37|2017-05-11
128180|tt503|14|15|13|38|2017-05-11
95103|tt503|-4|7|35|54|2017-05-11
95948|tt503|12|15|14|47|2017-05-11
147319|tt503|2|8|10|48|2017-05-11
117355|tt503|20|23|12|41|2017-05-11
